,상품명,가격,이미지 경로,이미지 개수
30,Wave Short Blue,"99,000원","['./상품이미지/바지/반바지/Wave Short Blue1.jpg', './상품이미지/바지/반바지/Wave Short Blue2.jpg', './상품이미지/바지/반바지/Wave Short Blue3.jpg']",3
31,Afternoonlive Short,"38,000원",['./상품이미지/바지/반바지/Afternoonlive Short1.jpg'],1
32,Afternoonlive Short H,"38,000원",['./상품이미지/바지/반바지/Afternoonlive Short3.jpg'],1
33,데프 라인 하프 쇼츠 멜란지그레이,"32,000원",['./상품이미지/바지/반바지/데프 라인 하프 쇼츠 멜란지그레이1.jpg'],1
34,SI PT 7042 fake leather bermuda pants_Ash beige,"119,000원",['./상품이미지/바지/반바지/SI PT 7042 fake leather bermuda pants_Ash beige1.jpg'],1
35,여성 트리코트 7부_EM2FAPH504,"49,000원",['./상품이미지/바지/반바지/여성 트리코트 7부_EM2FAPH5041.jpg'],1
36,여성 미키 마우스 5부 반바지 아이보리 FMBPT786FIV,"19,800원","['./상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 아이보리 FMBPT786FIV1.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 아이보리 FMBPT786FIV2.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 아이보리 FMBPT786FIV3.jpg']",3
37,SI SKN 2022 knit biker shorts_Oatmeal,"87,000원",['./상품이미지/바지/반바지/SI SKN 2022 knit biker shorts_Oatmeal1.jpg'],1
38,여성 미키 마우스 5부 반바지 민트 FMBPT786FMT,"19,800원","['./상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 민트 FMBPT786FMT1.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 민트 FMBPT786FMT2.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 민트 FMBPT786FMT3.jpg']",3
39,여성 트리코트 반바지_EM2FAPH502,"49,000원",['./상품이미지/바지/반바지/여성 트리코트 반바지_EM2FAPH5021.jpg'],1
40,SI SKN 2022 knit biker shorts_Chili red,"87,000원",['./상품이미지/바지/반바지/SI SKN 2022 knit biker shorts_Chili red1.jpg'],1
41,여성 미키 마우스 5부 반바지 라이트핑크 FMBPT786FLPK,"19,800원","['./상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 라이트핑크 FMBPT786FLPK1.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 라이트핑크 FMBPT786FLPK2.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 라이트핑크 FMBPT786FLPK3.jpg']",3
42,SI SKN 2022 knit biker shorts_Black,"87,000원",['./상품이미지/바지/반바지/SI SKN 2022 knit biker shorts_Black1.jpg'],1
43,여성 미키 마우스 5부 반바지 블랙 FMBPT786FBK,"19,800원","['./상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 블랙 FMBPT786FBK1.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 블랙 FMBPT786FBK2.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 블랙 FMBPT786FBK3.jpg']",3
44,SI PT 7042 fake leather bermuda pants_Black,"119,000원",['./상품이미지/바지/반바지/SI PT 7042 fake leather bermuda pants_Black1.jpg'],1
45,SI JN 6030 color denim shorts_Ivory,"62,500원",['./상품이미지/바지/반바지/SI JN 6030 color denim shorts_Ivory1.jpg'],1
